location,BHK,total_sqft,bath,price
Budhwar Peth,2,1350,2,80
Bund Garden Road,2,1115,2,50
Camp,2,1175,2,47
Chandan Nagar,2,1113,2,62
Dehu Road,2,650,2,42
Dhankawadi,2,1325,2,71.55
Dhayari Phata,2,950,2,31
Dhole Patil Road,3,1396,2,86.51
Erandwane,2,1050,2,52.07
Fatima Nagar,3,1825,3,100
Fergusson College Road,2,1190,2,49.98
Ganesh Peth,2,1220,2,56.5
Ganeshkhind,3,1565,2,75
Ghorpade Peth,3,1891,3,109
Ghorpadi,2,900,2,27
Gokhale Nagar,2,1161,2,55.15
Gultekdi,1,649.5,1,17.535
Guruwar peth,8,2400,6,125
Hadapsar Industrial Estate,1,665,1,36.85
Hingne Khurd,2,1175,2,73.5
Jangali Maharaj Road,2,1425,2,80
Kalyani Nagar,1,1200,1,20
Karve Nagar,3,1200,3,56.12
Karve Road,2,1255,2,67
Kasba Peth,3,2112.95,4,145
Katraj,1,600,1,22
Khadaki,3,1810,3,100
Khadki,2,1200,2,93
Kharadi,2,1033,2,49
Kondhwa,3,1548,3,89.5
Kondhwa Budruk,3,1611,3,66
Kondhwa Khurd,3,1400,2,40.43
Koregaon Park,3,1485,2,67
Kothrud,2,2400,2,82
Law College Road,2,1025,2,44.5
Laxmi Road,4,600,3,65
Lulla Nagar,2,1225,2,53
Mahatma Gandhi Road,2,1256,2,62.8
Mangalwar peth,4,2268,3,163
Manik Bagh,3,1100,3,53
Market yard,2,1141,2,62
Model colony,1,400,1,12
Mukund Nagar,2,1400,2,60
Nagar Road,1,1276,1,110
Narayan Peth,2,1175,2,48.27
Narayangaon,2,1100,2,56
Navi Peth,3,1843,3,95.84
Parvati Darshan,2,1460,2,80.5
Pashan,3,1530,2,74.5
Paud Road,2,1467,2,55
Pirangut,1,950,1,40
Prabhat Road,2,1246,2,64.5
Pune Railway Station,1,711,1,38
Rasta Peth,2,1194,2,46
Raviwar Peth,3,1358,2,43.4
Sadashiv Peth,6,1500,5,130
Sahakar Nagar,2,1420,2,75
Salunke Vihar,3,1250,2,68.75
Sasson Road,2,1280,2,58
Satara Road,2,1209,2,50
Shivaji Nagar,3,1315,2,54.8
Shukrawar Peth,3,1800,3,90
Sinhagad Road,5,1600,4,125
Somwar Peth,3,1600,2,65
Tilak Road,3,1563,3,52
Uruli Devachi,3,1560,2,72
Vadgaon Budruk,3,2169,4,115
Viman Nagar,2,1050,2,55.5
Wagholi,3,1200,3,66
Wakadewadi,2,1140,2,46
Warje,3,1560,3,75
Yerawada,2,1100,2,70
Alandi Road,3,1260,2,40.32
Ambegaon Budruk,2,1036,2,50
Anandnagar,3,1662,3,85.1
Aundh,3,1464,2,105
Aundh Road,2,1234,2,80
Balaji Nagar,3,1403,3,55
Baner,4,915,4,54.9
Bhandarkar Road,3,1150,2,42.9
Bibvewadi,5,850,4,90
Bopodi,2,929,2,46
Bund Garden Road,3,1350,2,75
Camp,2,1135,2,39.73
Chandan Nagar,2,1405,2,70
Dapodi,2,1200,2,45.84
Dehu Road,2,1161,2,64.08
Dhankawadi,2,1290,2,74
Dhole Patil Road,3,1480,3,90
Fatima Nagar,3,1350,3,54.54
Fergusson College Road,3,1580,2,65
Ganesh Peth,3,1470,2,88.64
Ganeshkhind,1,500,1,14
Ghorpade Peth,2,1346,2,61.92
Ghorpadi,3,1600,3,90
Gultekdi,2,1276,2,29.5
Hadapsar,2,1200,2,35
Hadapsar Industrial Estate,3,1340,2,48.33
Jangali Maharaj Road,2,918,2,48
Kalyani Nagar,3,1500,3,115
Karve Nagar,2,1315,2,85
Kasba Peth,3,1390,2,62.55
Katraj,3,1330,2,56
Khadki,3,1824,3,125
Kharadi,3,1420,2,96
Kondhwa,1,750,1,56.25
Kondhwa Budruk,3,1260,2,60
Kondhwa Khurd,3,1561,3,95
Kothrud,2,1060,2,42
Laxmi Road,2,1225,2,67.38
Lulla Nagar,3,2144,3,135
Mangalwar peth,2,880,2,29
Manik Bagh,3,1639,3,110
Market yard,3,1240,2,62
Model colony,2,1500,2,69
Mukund Nagar,2,1243,2,46
Mundhawa,3,1575,3,78
Nagar Road,2,1027,2,44
Nana Peth,3,1082,2,56
Narayan Peth,3,1637,3,73
Narayangaon,3,1665,3,86.58
Navi Peth,2,1265,2,56.93
Padmavati,3,1691,2,102
Parvati Darshan,2,1100,2,38
Paud Road,3,1500,3,62
Prabhat Road,5,1666,4,150
Pune Railway Station,2,1115,2,50
Rasta Peth,2,1070,2,45
Raviwar Peth,2,1128,2,105
Sadashiv Peth,2,1162,2,57
Sahakar Nagar,2,1339,2,55
Salunke Vihar,2,1192,2,75
Sasson Road,3,1920,3,115
Satara Road,2,1255,2,52.32
Senapati Bapat Road,2,1357,2,115
Shaniwar Peth,3,1600,3,75
Shivaji Nagar,2,1225,2,55.11
Shukrawar Peth,4,2400,4,200
Sinhagad Road,3,1570,3,80
Somwar Peth,2,1093,2,70
Swargate,3,1865,3,145
Uruli Devachi,2,1039,2,80
Vadgaon Budruk,2,1246,2,64.5
Wadgaon Sheri,3,1985,3,75
Viman Nagar,3,1590,3,49
Wagholi,2,775,2,38
Wakadewadi,2,1000,2,50
Wanowrie,3,1800,3,175
Warje,2,1035,2,41
Yerawada,3,1520,2,75
Alandi Road,2,1360,2,95
Anandnagar,2,1117,2,56
Aundh,4,1200,4,120
Aundh Road,2,1330,2,92.5
Balaji Nagar,3,1937,3,160
Baner,2,1128,2,65.49
Baner road,2,1053,2,45
Bhandarkar Road,2,1198,2,77
Bhavani Peth,2,1152,2,56
Bibvewadi,6,1200,6,125
Bopodi,2,1625,2,75
Budhwar Peth,3,1397,3,105
Camp,2,883,2,45
Chandan Nagar,1,700,1,38
Dapodi,2,1170,2,62.5
Deccan Gymkhana,3,1200,2,42
Dehu Road,3,2400,3,170
Dhankawadi,2,1480,2,65
Dhayari Phata,3,1897,3,120
Dhole Patil Road,2,996,2,67
Erandwane,3,1875,3,110
Fatima Nagar,3,1500,2,98
Ganeshkhind,3,1450,3,65.255
Ghorpade Peth,1,697,1,45
Ghorpadi,1,710,1,27
Gokhale Nagar,2,910,2,30.5
Gultekdi,3,1025,2,48
Guruwar peth,2,1000,2,46.5
Hadapsar Industrial Estate,3,1453,2,46.48
Jangali Maharaj Road,2,971.5,2,36.435
Kalyani Nagar,2,1281,2,74
Karve Nagar,1,565,1,35
Karve Road,2,1024,2,42
Kasba Peth,3,1620,3,62
Katraj,2,1254,2,40
Khadaki,3,1300,2,75
Khadki,2,1233,2,43
Kharadi,1,1200,1,28
Kondhwa,3,1510,2,105
Kondhwa Budruk,2,950,2,65
Kondhwa Khurd,3,1945,3,97.42
Koregaon Park,2,1008,2,45
Kothrud,3,1265,2,79
Law College Road,3,1255,2,77.68
Lulla Nagar,2,1200,2,46.17
Mahatma Gandhi Road,3,1403,3,51.63
Mangalwar peth,3,1535,3,85
Manik Bagh,3,1500,3,100
Market yard,3,1475,2,120
Model colony,3,1390,2,60.47
Mukund Nagar,3,1278,2,53.76
Mundhawa,2,1133,2,55
Nagar Road,5,1560,5,145
Narayan Peth,2,1170,2,51.99
Navi Peth,3,1697,3,94.79
Padmavati,3,1651,3,97.38
Pashan,3,1192,2,60
Paud Road,2,1078,2,65
Prabhat Road,2,1349,2,78
Pune Railway Station,9,2300,8,210
Rasta Peth,3,1680,3,120
Raviwar Peth,3,1314,2,63
Sadashiv Peth,2,1060,2,48.7
Sahakar Nagar,2,820,2,39
Sasson Road,3,2000,3,85
Satara Road,2,856,2,40
Senapati Bapat Road,3,1621,4,130
Shaniwar Peth,3,1200,3,68.4
Shivaji Nagar,3,1484,3,52.5
Shukrawar Peth,4,600,5,60
Somwar Peth,1,500,1,20
Swargate,1,485,1,15
Tilak Road,2,1050,2,42
Uruli Devachi,3,1617,3,66.68
Vadgaon Budruk,2,550,1,16
Wadgaon Sheri,3,1384,3,62.28
Viman Nagar,2,1408,2,85
Vishrant Wadi,2,1150,2,49
Wagholi,3,1410,2,75
Wakadewadi,4,2150,4,100
Yerawada,3,1508,3,70.25
Alandi Road,2,1040,2,50
Ambegaon Budruk,2,1240,2,60
Anandnagar,3,1535,3,78
Aundh,2,1180,2,75
Aundh Road,6,2200,6,68
Balaji Nagar,2,1400,2,78
Baner,1,500,1,25
Bhandarkar Road,3,1984,4,146
Bibvewadi,3,1960,3,160
Bopodi,2,1035,2,45
Budhwar Peth,4,2150,4,80
Bund Garden Road,3,1700,3,115
Chandan Nagar,3,1586,3,100
Dapodi,3,2264,2,155
Deccan Gymkhana,4,2325,4,120
Dehu Road,2,1120,2,55
Dhankawadi,3,1662,2,67.98
Dhayari Phata,2,1128,2,59
Erandwane,2,924,2,65
Fatima Nagar,3,1600,3,52
Fergusson College Road,2,1006,2,35
Ganesh Peth,2,1200,2,55
Ganeshkhind,2,1250,2,62
Ghorpade Peth,3,1200,3,130
Ghorpadi,2,957,2,56
Gokhale Nagar,2,1140,2,41
Gultekdi,2,1050,2,67
Guruwar peth,3,1565,3,88.5
Hadapsar,2,1190,2,57
Hingne Khurd,3,1558.67,2,65
Jangali Maharaj Road,1,630,1,39
Kalyani Nagar,3,1403,2,60.81
Karve Nagar,3,1542,2,85
Katraj,3,1635,2,78
Khadaki,2,1239,2,53
Khadki,2,1194,2,47
Kharadi,3,1596,3,105
Kondhwa,2,1009,2,38.34
Kondhwa Budruk,3,1726,3,81.99
Kondhwa Khurd,3,1535,3,86
Koregaon Park,3,1300,2,58.5
Law College Road,3,1800,3,80
Laxmi Road,1,665,1,50.75
Mahatma Gandhi Road,3,1500,2,100
Mangalwar peth,2,925,2,48
Market yard,2,1395,2,63.59
Model colony,3,1415,2,55
Mukund Nagar,3,1419,2,59
Mundhawa,2,1121,2,78
Nagar Road,3,1082,2,45
Nana Peth,2,1100,2,47
Narayan Peth,3,1606,3,89.55
Narayangaon,3,1650,3,88
Padmavati,2,1206,2,75
Parvati Darshan,3,1495,2,64
Paud Road,2,710,2,16
Pirangut,2,1210,2,72
Prabhat Road,3,1523,2,53.4
Pune Railway Station,2,1232,2,45
Rasta Peth,1,680,1,44
Raviwar Peth,3,1355,3,83.87
Sadashiv Peth,3,1430,2,51.46
Sahakar Nagar,3,1275,2,43.85
Salunke Vihar,2,1070,2,56.1
Sasson Road,3,1200,3,85
Satara Road,4,2000,4,120
Senapati Bapat Road,2,1200,2,40
Shaniwar Peth,3,1610,3,90
Shivaji Nagar,2,1140,2,43
Shukrawar Peth,2,1143,2,38.65
Somwar Peth,3,1530,2,74.4
Swargate,2,980,2,69
Tilak Road,3,1485,3,65
Uruli Devachi,3,1500,3,130
Vadgaon Budruk,2,1280,2,75
Wadgaon Sheri,2,1265,2,85
Viman Nagar,2,1132,2,67
Vishrant Wadi,2,1262,2,63
Wagholi,2,940,2,49
Wakadewadi,3,1515,3,88
Warje,3,1840,3,69
Yerawada,2,890,2,45
Alandi Road,3,1655,3,86.06
Ambegaon Budruk,3,2060,3,149
Anandnagar,3,1730,3,96
Aundh,3,2195,4,127
Aundh Road,3,1650,3,125
Balaji Nagar,2,1200,2,71
Baner,2,1079,2,32.37
Baner road,2,1085,2,36
Bhavani Peth,2,1075,2,51.5
Bibvewadi,2,1380,2,80
Bopodi,3,1450,3,65
Budhwar Peth,2,1200,2,78
Camp,3,1639,3,98.32
Chandan Nagar,2,1200,2,54
Dapodi,3,1739,3,116
Dehu Road,2,935,2,32.72
Dhankawadi,1,510,1,25.25
Dhole Patil Road,2,1178,2,47
Erandwane,3,1375,2,50
Fatima Nagar,3,1065,2,33
Fergusson College Road,3,1450,2,50.75
Ganesh Peth,2,999,2,45
Ghorpade Peth,5,1350,4,135
Ghorpadi,2,1100,2,40
Gokhale Nagar,3,1835,2,155
Gultekdi,4,2090,4,95.1
Guruwar peth,3,1519,3,93
Hadapsar,3,1267,3,56
Hadapsar Industrial Estate,2,1150,2,72.2
Hingne Khurd,2,1146,2,70
Kalyani Nagar,3,1550,3,65
Karve Nagar,2,850,1,18.5
Karve Road,3,2200,3,187
Katraj,1,785,1,55
Khadki,3,1610,3,74
Kharadi,2,921,2,40
Kondhwa Khurd,3,1700,3,110
Koregaon Park,2,1020,2,35
Kothrud,2,1090,2,52
Laxmi Road,2,1027,2,44
Lulla Nagar,2,1185,2,42.1
Mahatma Gandhi Road,2,850,2,25
Mangalwar peth,2,1197,2,84
Market yard,2,920,2,39.55
Mukund Nagar,2,1105,2,65
Mundhawa,3,1850,3,100
Nagar Road,3,1300,3,64
Nana Peth,3,1595,3,76
Narayangaon,2,755,2,37.49
Padmavati,3,1300,2,69
Parvati Darshan,2,1215,2,50
Pashan,2,900,2,46
Paud Road,2,1145,2,58.4
Pirangut,2,1093,2,65
Prabhat Road,3,1213,2,41.39
Pune Railway Station,3,1654,3,100
Rasta Peth,2,1105,2,52.48
Raviwar Peth,3,1611,2,66
Sadashiv Peth,2,1367,2,62
Sahakar Nagar,2,1010,2,51
Salunke Vihar,3,750,2,75
Sasson Road,3,1535,3,95
Satara Road,2,620,2,22
Senapati Bapat Road,2,982,2,47.65
Shaniwar Peth,2,1700,2,150
Shivaji Nagar,2,1330,2,71
Shukrawar Peth,3,2500,3,135
Sinhagad Road,3,1475,2,58.99
Somwar Peth,3,1410,3,65
Swargate,1,440,1,16.5
Tilak Road,3,1614,3,95
Uruli Devachi,2,1363,2,68
Vadgaon Budruk,2,650,2,28
Wadgaon Sheri,2,1015,2,45
Viman Nagar,2,1156,2,46
Vishrant Wadi,2,1100,2,62.7
Wagholi,3,1455,3,46
Wakadewadi,2,930,2,45
Wanowrie,3,1650,2,80
Warje,2,1200,2,90
Ambegaon Budruk,3,1890,4,127
Aundh Road,3,1240,2,46
Balaji Nagar,2,1440,2,98
Baner,1,650,1,38
Baner road,1,764,1,32
Bhandarkar Road,5,900,4,90
Bhavani Peth,3,1693,3,57.39
Bibvewadi,3,1445,3,65
Bopodi,2,900,1,45
Budhwar Peth,2,1030,2,55
Bund Garden Road,3,1381,2,52.48
Camp,2,1100,2,60
Chandan Nagar,3,1575,3,66.39
Dapodi,2,1200,2,65
Deccan Gymkhana,2,1200,2,43.2
Dehu Road,2,1080,2,80
Dhankawadi,5,2280,5,200
Dhayari Phata,3,1360,2,85
Dhole Patil Road,3,1865,3,124
Erandwane,3,1157,2,75
Fatima Nagar,2,674,2,29
Fergusson College Road,3,1405,2,78
Ganesh Peth,2,1160,2,44.08
Ganeshkhind,4,1600,3,172
Ghorpade Peth,3,1790,3,127
Ghorpadi,2,1128,2,65.65
Gokhale Nagar,2,1180,2,70
Gultekdi,3,1450,2,85
Guruwar peth,1,340,1,10
Hadapsar,4,2000,3,166
Hadapsar Industrial Estate,2,1050,2,53.5
Hingne Khurd,2,1125,2,40
Jangali Maharaj Road,2,1246,2,68
Kalyani Nagar,2,1372,2,61
Karve Nagar,3,1330,2,56
Karve Road,3,2465,5,234
Kasba Peth,2,1300,2,55
Khadaki,4,810,4,50
Khadki,2,1065,2,35
Kharadi,2,700,2,27
Kondhwa,2,687.325,2,42.72
Kondhwa Budruk,2,1050,2,45
Kondhwa Khurd,3,1250,3,39.5
Koregaon Park,2,865,2,42
Kothrud,2,1200,2,44
Law College Road,3,1756,3,100
Lulla Nagar,1,628,1,24
Mangalwar peth,2,1207,2,63
Manik Bagh,3,1765,3,125
Market yard,2,1130,2,32.64
Model colony,3,1532,3,92
Mukund Nagar,3,1650,3,110
Mundhawa,4,1200,4,105
Nagar Road,2,804.1,2,69.09
Nana Peth,2,1200,2,75
Narayan Peth,2,1197,2,50
Narayangaon,2,1200,2,66
Navi Peth,3,1385,2,48.48
Parvati Darshan,3,2225,3,115
Pashan,2,1180,2,48
Paud Road,3,1525,2,122
Pirangut,2,1100,2,31.5
Prabhat Road,3,1435,3,70
Pune Railway Station,1,400,1,14
Rasta Peth,2,1200,2,50
Raviwar Peth,2,1272,2,95.05
Sadashiv Peth,2,1205,2,39
Sahakar Nagar,2,980,2,40
Salunke Vihar,2,1225,2,46.86
Sasson Road,3,1541,3,72
Satara Road,3,1610,2,111
Senapati Bapat Road,2,1694,2,125
Shivaji Nagar,2,950,2,39
Shukrawar Peth,3,1560,2,66
Sinhagad Road,2,1201,2,27
Somwar Peth,2,1500,2,60
Swargate,3,1785,3,75
Tilak Road,2,1258,2,63.53
Uruli Devachi,2,910,2,42
Vadgaon Budruk,2,1297,2,112
Wadgaon Sheri,2,1291,2,49
Viman Nagar,2,1070,2,42
Vishrant Wadi,2,1012,2,66.5
Wagholi,2,1260,2,57.6
Wakadewadi,2,1282,2,72
Wanowrie,3,1843,3,92.15
Warje,4,2400,3,200
Ambegaon Budruk,2,1330,2,86.98
Anandnagar,3,1400,2,73
Aundh,2,1192,2,71
Balaji Nagar,2,1297,2,103
Baner,1,615,1,17.835
Baner road,3,1490,3,100
Bhandarkar Road,3,1373,3,72
Bhavani Peth,2,1035,2,41.39
Bopodi,2,1010,2,40.39
Budhwar Peth,2,1195,2,42
Bund Garden Road,3,1750,3,95
Camp,2,1052,2,50
Chandan Nagar,2,1180,2,58
Deccan Gymkhana,3,2100,3,73
Dhankawadi,2,1128,2,38.24
Dhole Patil Road,2,1120,2,33.6
Erandwane,3,2424,3,90
Fatima Nagar,2,1300,2,60
Fergusson College Road,2,1090,2,32.69
Ghorpade Peth,3,1330,2,46.55
Ghorpadi,3,1427,2,80.63
Gokhale Nagar,3,1294,2,48
Gultekdi,3,1580,3,75
Hadapsar,3,1808,4,80.27
Hingne Khurd,2,1194,2,47
Jangali Maharaj Road,2,900,2,46
Kalyani Nagar,3,1310,2,50
Karve Nagar,2,900,2,46
Kasba Peth,7,925,7,88
Katraj,2,2400,1,150
Khadaki,2,1290,2,100
Kharadi,3,1390,3,120
Kondhwa,4,1200,4,72
Kondhwa Budruk,2,845,2,33
Kondhwa Khurd,3,1537,3,120
Koregaon Park,2,1135,2,68
Kothrud,3,1512,3,75.77
Law College Road,2,900,2,55
Laxmi Road,3,1230,3,54
Lulla Nagar,3,1378,2,42.33
Mahatma Gandhi Road,2,1277,2,61.3
Mangalwar peth,3,1985,4,189
Market yard,2,1210,2,62
Model colony,2,890,2,40
Mundhawa,4,1200,5,110
Nana Peth,3,1464,3,56
Narayan Peth,4,2483,5,215
Narayangaon,4,1550,4,130
Padmavati,2,975,2,37.5
Parvati Darshan,3,2500,3,250
Pashan,3,1690,3,125
Paud Road,2,1063,2,31.89
Pune Railway Station,3,1600,3,80
Rasta Peth,3,1250,3,39.5
Raviwar Peth,1,520,1,19.5
Sahakar Nagar,3,1390,3,68
Salunke Vihar,2,1185,2,40
Sasson Road,2,1219,2,48
Satara Road,3,1564,2,92
Shaniwar Peth,2,1100,2,37.1
Shivaji Nagar,3,1300,2,60
Shukrawar Peth,3,1600,2,80
Sinhagad Road,3,1600,3,75
Somwar Peth,3,1482,2,92
Swargate,3,1000,4,66
Tilak Road,2,1200,2,53
Vadgaon Budruk,2,1200,2,58
Wadgaon Sheri,6,600,4,60
Viman Nagar,3,2400,3,160
Vishrant Wadi,3,1469,3,89
Wagholi,1,551,1,30
Wakadewadi,2,1160,2,52
Wanowrie,2,1205,2,78.5
Warje,3,1550,2,52
Yerawada,3,1745,3,125
Alandi Road,2,1028,2,42
Ambegaon Budruk,3,1700,3,180
Anandnagar,3,1200,2,34
Aundh Road,2,1100,2,50
Balaji Nagar,2,1200,3,72
Baner,2,1269.72,2,68
Baner road,2,1266,2,59
Bhandarkar Road,2,1060,2,62
Bhavani Peth,3,1168,3,70
Bibvewadi,2,1552,2,51
Bopodi,3,2038.5,3,120
Budhwar Peth,1,500,1,17
Bund Garden Road,2,1080,2,43.2
Camp,4,2100,4,155
Chandan Nagar,2,1300,2,65
Dapodi,2,920,2,33
Dehu Road,2,1310,2,50
Dhankawadi,3,1650,2,75
Dhayari Phata,3,1515,3,93.93
Dhole Patil Road,2,1157,2,53.8
Erandwane,4,2400,5,85
Fergusson College Road,3,2200,2,162
Ganesh Peth,2,1243,2,58
Ganeshkhind,3,1530,2,74.39
Ghorpade Peth,3,2070,3,162
Ghorpadi,3,1815,3,82
Gultekdi,2,1000,2,28.88
Guruwar peth,2,982,2,24.55
Hadapsar,2,1232,2,89
Hingne Khurd,1,654,1,38.4
Jangali Maharaj Road,2,1181,2,55
Kalyani Nagar,3,1075,2,45
Karve Road,3,1616,3,75
Kasba Peth,5,1800,6,44.5
Khadaki,3,1306,3,54.65
Khadki,3,1626,3,89
Kondhwa,3,1585,3,88
Kondhwa Budruk,2,1370,2,56.17
Koregaon Park,2,1495,2,90
Kothrud,3,2000,3,210
Laxmi Road,3,1375,3,57
Mahatma Gandhi Road,3,1400,2,48
Manik Bagh,1,665,2,28.585
Model colony,2,1150,2,46
Mukund Nagar,2,1080,2,54
Mundhawa,3,1645,3,100
Nagar Road,3,1760,3,176
Nana Peth,1,595,1,42
Narayan Peth,3,1200,3,125
Navi Peth,2,1410,2,67
Padmavati,2,1090,2,31.48
Parvati Darshan,1,540,1,30
Pashan,2,1300,2,60
Paud Road,3,1890,2,85
Pirangut,2,1254,2,53
Pune Railway Station,2,1275,2,120
Rasta Peth,3,1245,2,68.48
Raviwar Peth,2,1170,2,86
Sadashiv Peth,2,1193,2,86
Sahakar Nagar,2,850,2,25.4
Salunke Vihar,3,1678,3,70
Sasson Road,3,1600,3,75
Satara Road,3,1750,3,84
Senapati Bapat Road,2,1125,2,62
Shaniwar Peth,4,2200,4,235
Shivaji Nagar,3,1276,3,95
Sinhagad Road,2,1200,2,120
Somwar Peth,2,1000,2,50
Tilak Road,3,1320,2,38.13
Vadgaon Budruk,4,2422,4,160
Wadgaon Sheri,2,1100,2,50
Viman Nagar,2,882,2,30
Vishrant Wadi,2,845,2,37
Wagholi,2,883,2,39
Wakadewadi,1,776.5,2,48.145
Wanowrie,3,1595,3,88
Warje,2,1280,2,85
Alandi Road,2,920,2,35
Alandi Road,2,1300,2,57
Anandnagar,3,1757,3,132
Aundh,1,600,1,16.5
Aundh Road,4,2400,3,142
Balaji Nagar,2,1240,2,44
Baner road,2,1330,2,93.36
Bhandarkar Road,2,1062,2,42.47
Bhavani Peth,2,1078,2,45
Bibvewadi,3,1460,2,72
Bopodi,3,1200,3,68.5
Budhwar Peth,1,1200,1,48
Bund Garden Road,3,912,2,39
Camp,3,1276,3,115
Dapodi,4,2028,4,162
Deccan Gymkhana,2,980,2,45.47
Dehu Road,2,1000,2,40
Dhankawadi,2,1050,2,62
Dhole Patil Road,3,1875,2,150
Erandwane,2,1065,2,42.6
Fatima Nagar,3,1800,3,180
Fergusson College Road,2,1163,2,98.86
Ganesh Peth,2,1098,2,72
Ganeshkhind,3,1725,2,100
Ghorpadi,2,1128,2,75
Gultekdi,3,1705,3,74.16
Guruwar peth,2,1418,2,95
Hadapsar,3,1500,3,160
Hadapsar Industrial Estate,2,1100,2,50
Hingne Khurd,3,1464,3,56
Jangali Maharaj Road,2,812,2,55
Karve Nagar,2,1280,2,40
Karve Road,2,1420,2,136
Katraj,6,727,6,66
Kharadi,3,2000,3,85
Kondhwa,3,1722,3,95
Koregaon Park,3,1650,3,175
Kothrud,2,840,2,27
Law College Road,2,914,2,47
Laxmi Road,3,1482,2,83.73
Lulla Nagar,3,1724,3,127
Mahatma Gandhi Road,3,1670,3,91.86
Mangalwar peth,2,1184,2,53
Manik Bagh,2,1200,2,55
Market yard,2,1200,2,65
Model colony,2,927,2,55
Mukund Nagar,2,1242,2,39.7
Mundhawa,3,1220,3,35.23
Nagar Road,3,1360,2,75
Narayan Peth,2,1180,2,72
Narayangaon,3,1697,3,108
Navi Peth,2,550,2,26
Padmavati,2,1225,2,57
Parvati Darshan,3,1690,2,55
Paud Road,3,1488,3,57
Pirangut,3,1250,2,80
Prabhat Road,1,1050,1,44
Pune Railway Station,2,1027,2,44
Rasta Peth,3,1699,3,81.94
Raviwar Peth,2,1205,2,58
Sadashiv Peth,4,712,2,67.5
Sahakar Nagar,2,950,2,39
Salunke Vihar,2,1200,2,70
Sasson Road,3,1476,3,120
Satara Road,2,1070,2,55
Senapati Bapat Road,3,2160,4,172
Shaniwar Peth,2,1296,2,75
Shivaji Nagar,2,1800,1,128
Shukrawar Peth,3,1570,3,64.5
Sinhagad Road,2,1300,2,110
Somwar Peth,4,1550,2,65
Swargate,2,770,1,40
Tilak Road,3,1870,3,110
Uruli Devachi,3,1650,4,160
Vadgaon Budruk,3,1429,3,86
Wadgaon Sheri,3,1167,2,39.98
Viman Nagar,2,1035,2,41.73
Vishrant Wadi,3,1188,2,38
Wakadewadi,3,1276,3,76
Wanowrie,1,884,2,36
Warje,2,1194,2,46
Yerawada,2,1026,2,60.87
Ambegaon Budruk,2,1115,2,50
Anandnagar,2,1200,2,125
Aundh Road,2,975,2,58
Balaji Nagar,3,675,3,72.5
Baner,4,1900,2,170
Bhandarkar Road,2,1101,2,65.5
Bhavani Peth,3,1700,3,135
Bopodi,2,1258,2,115
Budhwar Peth,3,1560,3,92
Dapodi,3,1494,2,94.55
Deccan Gymkhana,3,1482,2,87
Dehu Road,2,800,2,50
Dhankawadi,2,1185,2,47.39
Dhayari Phata,2,1100,2,71.5
Dhole Patil Road,2,1300,2,120
Fatima Nagar,3,1758,3,65
Fergusson College Road,2,1145,2,55
Ganesh Peth,2,1180,2,50
Ganeshkhind,2,1260,2,58
Ghorpadi,2,1190,2,55
Gokhale Nagar,3,1691,3,119
Guruwar peth,3,1305,3,95.45
Jangali Maharaj Road,5,1350,4,130
Kalyani Nagar,2,1140,2,50.66
Karve Nagar,2,1250,2,65
Karve Road,3,600,2,60
Kasba Peth,2,1225,2,48
Katraj,2,800,2,28
Khadaki,2,1020,2,58
Khadki,4,2100,2,50
Kharadi,2,1350,2,80
Kondhwa,2,925,2,40
Kondhwa Khurd,3,2000,3,100
Koregaon Park,3,1510,2,75
Law College Road,3,1614,3,110
Lulla Nagar,2,1200,2,95
Mahatma Gandhi Road,2,900,2,55
Mangalwar peth,4,1632,3,145
Manik Bagh,2,1041,2,65.5
Mukund Nagar,3,1530,3,74.5
Mundhawa,3,1450,2,135
Nagar Road,2,1200,2,75
Nana Peth,4,1200,4,130
Narayan Peth,3,1508,2,110
Navi Peth,2,1188,2,73
Parvati Darshan,2,1174,2,76
Pashan,3,1350,3,58.99
Paud Road,3,1870,3,185
Pirangut,2,1072,2,25
Pune Railway Station,2,726,2,31
Rasta Peth,2,1345,2,106
Raviwar Peth,2,1200,2,45
Sadashiv Peth,2,980,2,37
Sahakar Nagar,2,1050,2,77
Salunke Vihar,2,993,2,39.71
Sasson Road,3,1300,2,52
Satara Road,3,1743,3,85
Senapati Bapat Road,4,1204,4,125
Shaniwar Peth,2,1200,2,67
Shivaji Nagar,3,1480,3,90
Shukrawar Peth,2,950,2,32.5
Sinhagad Road,1,640,1,55
Somwar Peth,2,972,2,44
Swargate,3,1840,3,98
Tilak Road,2,1128,2,64
Uruli Devachi,2,680,2,42
Vadgaon Budruk,2,2400,2,95
Wadgaon Sheri,2,1045,2,42
Viman Nagar,2,955,2,53.55
Vishrant Wadi,3,1360,2,54.39
Wagholi,2,1150,2,63
Wanowrie,2,1115,2,56.87
Warje,2,920,2,46
Yerawada,2,1030,2,41
Alandi Road,3,1564,3,101
Ambegaon Budruk,2,1045,2,45
Anandnagar,4,1200,4,83
Aundh,2,1277,2,55
Aundh Road,3,2479.13,3,215
Balaji Nagar,3,1846,3,140
Baner,2,1100,2,106
Baner road,3,1690,3,75
Bhandarkar Road,2,1200,3,70
Bopodi,2,1068,2,40.05
Budhwar Peth,2,1135,2,58
Bund Garden Road,3,1925,3,120
Camp,3,1615,3,60
Chandan Nagar,1,650,1,26
Dapodi,9,1200,9,120
Deccan Gymkhana,2,1150,2,42
Dhankawadi,3,1410,2,45.12
Dhole Patil Road,3,2000,3,207
